x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30
1188,286,1176,254,1094,422,1080,343,1084,261,1029,458,989,112,1029,458,1020,180,1102,381,1032,223,1071,280,1068,271,1006,116,844,196,1021,145,1074,93,1101,69,1047,215,1153,151,1162,277,1161,22,1246,11,965,60,1131,23,1094,160,1159,95,1143,63,1146,193,1144,74
1256,244,1248,293,1093,425,1143,364,1021,195,1045,424,955,111,1045,424,1013,175,1097,391,1029,214,1098,238,1065,278,1008,112,846,193,1022,153,1068,97,1094,75,1039,178,1147,163,1188,242,1166,21,1181,-3,965,73,1117,26,1093,158,1164,104,1133,72,1133,191,1143,75
1251,245,1246,294,1097,435,1156,291,1017,163,1048,434,948,112,1048,434,1010,172,1099,391,1032,213,1099,223,1065,296,1004,113,847,186,1030,160,1073,86,1094,75,1036,198,1149,158,1188,251,1171,20,1180,2,968,71,1113,22,1099,159,1162,102,1134,73,1147,187,1141,72
1250,262,1235,308,1091,427,1149,339,1014,213,1048,431,947,173,1048,431,1011,167,1099,381,1030,219,1098,242,1072,276,1009,110,848,181,1029,161,1072,89,1093,76,1036,192,1142,195,1188,257,1169,25,1187,26,958,69,1113,30,1096,170,1161,107,1136,78,1147,197,1139,79
1241,280,1242,310,1093,428,1152,355,1024,182,1053,440,942,164,1053,440,1012,170,1096,381,1023,223,1097,238,1060,275,1007,117,846,175,1029,166,1074,89,1091,72,1031,207,1150,160,1190,255,1172,26,1190,18,963,61,1107,36,1097,167,1162,112,1136,83,1150,176,1139,79
1244,267,1239,313,1093,435,1160,315,1018,186,1049,430,944,178,1049,430,1010,167,1098,391,1031,226,1095,241,1061,284,1007,117,845,173,1029,156,1075,84,1094,61,1032,195,1143,192,1189,248,1170,17,1194,3,963,73,1107,32,1100,164,1166,115,1132,86,1146,186,1140,87
1244,269,1241,316,1084,437,1146,367,1024,205,1053,427,941,188,1053,427,1017,156,1095,383,1033,223,1093,237,1061,276,1004,109,842,179,1023,149,1079,78,1097,52,1037,204,1150,163,1187,247,1170,20,1196,-9,960,70,1108,24,1102,160,1167,119,1134,81,1149,190,1144,87
1245,258,1237,323,1094,432,1148,354,1018,207,1047,424,943,180,1047,424,1015,161,1090,406,1033,235,1103,235,1061,268,1005,116,842,172,1025,139,1073,83,1095,56,1032,184,1142,154,1186,265,1176,16,1194,-13,956,74,1112,21,1100,158,1165,108,1137,78,1150,205,1142,88
1245,267,1238,323,1092,436,1155,361,1015,225,1045,449,940,173,1045,449,1016,166,1092,369,1031,227,1103,243,1060,268,1007,105,846,176,1021,137,1071,74,1093,53,1030,206,1149,141,1189,268,1177,13,1191,9,963,65,1113,24,1100,166,1166,107,1137,81,1146,191,1144,83
1248,265,1234,314,1089,438,1154,371,1024,210,1047,441,944,167,1047,441,1012,165,1091,389,1030,230,1093,220,1058,270,1005,111,841,174,1023,127,1074,89,1091,44,1033,194,1150,156,1191,262,1172,17,1194,1,960,60,1111,24,1097,162,1167,105,1138,82,1150,197,1141,81
