x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30
1248,281,1332,200,1500,119,1302,213,1487,246,1352,224,1404,217,1517,269,1435,224,1300,195,1376,138,1398,158,1556,208,1363,216,1563,318,1447,198,1623,197,1741,171,1608,186,1601,161,1756,156,1516,165,1691,238,1688,161,1579,230,1529,205,1667,162,1431,219,1602,189,1539,183
1231,309,1319,218,1463,161,1300,219,1472,261,1352,231,1412,227,1503,270,1468,223,1294,185,1393,139,1415,167,1509,215,1388,216,1570,310,1438,199,1643,199,1748,162,1606,185,1586,146,1737,162,1511,160,1686,229,1681,160,1570,247,1536,207,1672,156,1454,221,1577,201,1551,203
1230,309,1326,214,1481,144,1305,240,1472,266,1347,238,1403,219,1532,268,1435,229,1301,189,1395,145,1397,175,1504,207,1367,220,1559,324,1436,202,1639,196,1746,167,1611,186,1592,159,1759,168,1514,162,1687,242,1687,151,1570,244,1521,208,1677,162,1477,185,1598,190,1555,198
1238,316,1325,222,1483,144,1303,234,1472,272,1349,237,1402,224,1522,268,1446,222,1312,156,1390,166,1401,171,1496,211,1373,216,1567,318,1433,199,1640,193,1746,159,1610,187,1597,162,1754,158,1511,166,1689,231,1686,144,1571,235,1530,195,1674,160,1475,199,1591,190,1558,201
1238,316,1325,213,1476,145,1303,235,1470,269,1347,236,1406,233,1525,257,1442,229,1303,184,1399,157,1397,164,1498,212,1369,222,1569,306,1433,199,1644,193,1755,148,1610,188,1596,154,1756,158,1514,162,1681,230,1691,151,1568,240,1526,201,1673,165,1474,208,1592,189,1556,196
1228,308,1324,208,1471,158,1298,225,1469,264,1355,233,1407,217,1529,267,1439,240,1303,186,1399,171,1399,173,1496,217,1377,218,1574,300,1431,203,1646,199,1756,154,1604,187,1598,155,1746,188,1513,171,1681,237,1690,152,1571,238,1529,200,1678,163,1476,207,1597,189,1556,199
1237,309,1324,215,1473,149,1299,236,1473,262,1354,249,1401,222,1530,276,1433,228,1311,175,1397,185,1402,166,1494,197,1373,209,1571,296,1425,203,1640,203,1748,155,1608,178,1591,154,1749,181,1517,161,1680,252,1690,152,1569,244,1526,195,1672,171,1465,242,1596,180,1557,213
1239,302,1322,198,1470,157,1306,232,1473,272,1344,244,1413,227,1528,263,1432,225,1304,214,1395,165,1399,165,1496,213,1373,213,1570,309,1425,192,1643,208,1755,142,1610,179,1595,158,1745,171,1518,157,1686,231,1690,146,1570,241,1531,192,1679,165,1458,228,1599,190,1555,214
1241,311,1327,221,1480,137,1305,230,1463,270,1347,251,1405,229,1524,267,1431,248,1317,214,1397,175,1399,170,1502,217,1374,206,1576,316,1427,191,1649,201,1742,176,1611,181,1593,164,1748,176,1522,158,1682,237,1691,146,1570,248,1528,192,1674,168,1469,235,1599,183,1559,208
1240,322,1325,211,1480,136,1303,236,1470,262,1352,232,1410,233,1520,257,1434,243,1309,215,1395,186,1400,166,1493,217,1376,215,1572,293,1429,192,1644,200,1752,156,1607,181,1594,158,1749,169,1522,157,1688,226,1691,140,1570,236,1529,195,1675,159,1461,236,1597,186,1554,206
1236,316,1314,228,1477,150,1303,231,1472,260,1350,231,1404,223,1520,271,1433,254,1310,208,1396,179,1400,167,1497,210,1374,214,1569,306,1430,181,1646,198,1749,168,1610,184,1597,158,1753,168,1518,162,1688,231,1692,137,1573,240,1528,191,1679,157,1467,238,1600,189,1555,203
