x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30
1659,200,1683,325,1594,222,1648,78,1717,172,1559,217,1767,231,1853,181,1839,84,1853,293,1706,173,1771,194,1791,217,1914,139,1770,217,1853,167,1882,140,1771,146,1806,315,1638,119,1837,45,1809,246,1844,134,1806,177,1516,357,1559,217,1701,18,1676,99,1868,93,1853,293
1667,198,1688,326,1591,224,1655,103,1728,223,1554,200,1769,234,1849,172,1895,56,1836,280,1717,187,1770,189,1799,193,1897,168,1767,205,1869,180,1882,151,1763,144,1803,331,1637,126,1765,185,1804,246,1765,140,1806,172,1509,349,1554,200,1703,14,1684,80,1858,96,1836,280
1653,192,1686,326,1594,214,1642,82,1727,175,1561,207,1757,225,1851,174,1886,192,1844,257,1714,192,1763,185,1794,196,1902,139,1775,229,1868,170,1875,130,1765,139,1807,303,1644,119,1831,37,1786,232,1847,130,1805,179,1524,352,1561,207,1701,22,1680,83,1842,109,1844,257
1648,201,1683,317,1591,208,1651,65,1705,164,1554,207,1768,223,1845,137,1859,80,1860,265,1718,189,1777,213,1790,215,1905,139,1770,214,1871,168,1883,131,1764,140,1808,316,1657,130,1842,32,1783,223,1840,150,1811,177,1524,346,1554,207,1700,19,1690,86,1833,107,1860,265
1647,203,1687,324,1587,206,1648,80,1706,162,1553,203,1766,282,1854,187,1904,89,1844,282,1716,193,1771,182,1807,162,1912,156,1772,232,1866,156,1875,137,1760,130,1812,315,1656,122,1838,32,1782,229,1840,118,1811,186,1522,345,1553,203,1711,19,1688,80,1829,116,1844,282
1637,200,1684,322,1588,208,1656,66,1727,178,1564,209,1769,224,1851,175,1894,184,1850,282,1718,199,1778,219,1802,174,1896,157,1769,215,1912,178,1881,137,1764,118,1808,318,1664,128,1840,44,1793,244,1849,141,1814,181,1513,335,1564,209,1708,26,1700,85,1822,95,1850,282
1639,198,1684,324,1595,217,1647,63,1741,208,1569,214,1766,221,1846,170,1887,170,1852,275,1717,187,1777,225,1800,177,1894,172,1772,218,1912,178,1878,137,1766,124,1804,322,1668,123,1840,25,1794,235,1848,127,1809,185,1524,344,1569,214,1706,16,1697,91,1825,104,1852,275
1643,202,1685,321,1591,216,1647,72,1718,200,1565,206,1764,281,1839,178,1844,290,1842,277,1714,181,1776,221,1802,186,1902,164,1771,234,1847,260,1877,136,1768,133,1807,314,1661,130,1846,49,1784,214,1849,128,1815,172,1542,329,1565,206,1704,22,1703,88,1820,102,1842,277
1636,199,1683,318,1595,218,1651,55,1719,199,1569,219,1774,237,1836,190,1915,70,1843,285,1720,192,1774,200,1801,184,1896,160,1766,211,1857,182,1884,138,1769,148,1811,309,1667,151,1846,56,1788,233,1927,130,1816,173,1531,347,1569,219,1703,31,1696,77,1814,89,1843,285
1636,202,1681,318,1594,221,1665,119,1731,193,1566,200,1778,222,1838,165,1846,279,1856,283,1716,180,1760,179,1797,182,1890,138,1774,218,1857,160,1876,126,1768,133,1815,325,1666,113,1839,8,1792,236,1849,143,1810,166,1522,343,1566,200,1707,24,1699,78,1817,105,1856,283
